date,division,index,description
4/1/2024,5,121.8,"Furnishings, Household Equipment & Routine Household Maintenance"
5/1/2024,5,121.9,"Furnishings, Household Equipment & Routine Household Maintenance"
6/1/2024,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
7/1/2024,5,122.2,"Furnishings, Household Equipment & Routine Household Maintenance"
8/1/2024,5,122.2,"Furnishings, Household Equipment & Routine Household Maintenance"
9/1/2024,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
10/1/2024,5,122,"Furnishings, Household Equipment & Routine Household Maintenance"
11/1/2024,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
12/1/2024,5,122,"Furnishings, Household Equipment & Routine Household Maintenance"
1/1/2025,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
2/1/2025,5,122,"Furnishings, Household Equipment & Routine Household Maintenance"
3/1/2025,5,122,"Furnishings, Household Equipment & Routine Household Maintenance"
4/1/2025,5,122,"Furnishings, Household Equipment & Routine Household Maintenance"
5/1/2025,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
6/1/2025,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
7/1/2025,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
8/1/2025,5,122.2,"Furnishings, Household Equipment & Routine Household Maintenance"
9/1/2025,5,122.2,"Furnishings, Household Equipment & Routine Household Maintenance"
10/1/2025,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
11/1/2025,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
12/1/2025,5,122.2,"Furnishings, Household Equipment & Routine Household Maintenance"
1/1/2026,5,122.1,"Furnishings, Household Equipment & Routine Household Maintenance"
2/1/2026,5,122,"Furnishings, Household Equipment & Routine Household Maintenance"
3/1/2026,5,121.9,"Furnishings, Household Equipment & Routine Household Maintenance"
1/1/2020,6,123.1,Health
2/1/2020,6,123.3,Health
3/1/2020,6,123.6,Health
4/1/2020,6,123.6,Health
5/1/2020,6,123.6,Health
6/1/2020,6,123.8,Health
7/1/2020,6,123.9,Health
8/1/2020,6,124,Health
9/1/2020,6,124,Health
10/1/2020,6,124.1,Health
11/1/2020,6,124.1,Health
12/1/2020,6,124.1,Health
1/1/2021,6,124.2,Health
2/1/2021,6,124.2,Health
3/1/2021,6,124.4,Health
4/1/2021,6,124.4,Health
5/1/2021,6,124.4,Health
6/1/2021,6,124.5,Health
7/1/2021,6,124.5,Health
8/1/2021,6,124.5,Health
9/1/2021,6,124.5,Health
10/1/2021,6,124.6,Health
11/1/2021,6,124.5,Health
12/1/2021,6,124.5,Health
1/1/2022,6,124.7,Health
2/1/2022,6,125,Health
3/1/2022,6,124.8,Health
4/1/2022,6,125,Health
5/1/2022,6,125.2,Health
6/1/2022,6,125.4,Health
7/1/2022,6,125.9,Health
8/1/2022,6,126,Health
9/1/2022,6,126.2,Health
10/1/2022,6,126.3,Health
11/1/2022,6,126.7,Health
12/1/2022,6,126.6,Health
1/1/2023,6,127,Health
2/1/2023,6,127.5,Health
3/1/2023,6,127.6,Health
4/1/2023,6,127.7,Health
5/1/2023,6,127.8,Health
6/1/2023,6,128,Health
7/1/2023,6,128.3,Health
8/1/2023,6,128.8,Health
9/1/2023,6,128.8,Health
10/1/2023,6,129,Health
11/1/2023,6,129.3,Health
12/1/2023,6,129.5,Health
1/1/2024,6,129.7,Health
2/1/2024,6,130.2,Health
3/1/2024,6,130.2,Health
4/1/2024,6,130.4,Health
5/1/2024,6,130.5,Health
6/1/2024,6,130.3,Health
7/1/2024,6,130.6,Health
8/1/2024,6,130.9,Health
9/1/2024,6,130.8,Health
10/1/2024,6,130.8,Health
11/1/2024,6,130.9,Health
12/1/2024,6,130.9,Health
1/1/2025,6,131.4,Health
2/1/2025,6,131.6,Health
3/1/2025,6,131.6,Health
4/1/2025,6,131.6,Health
5/1/2025,6,131.9,Health
6/1/2025,6,131.9,Health
7/1/2025,6,132.3,Health
8/1/2025,6,132.4,Health
9/1/2025,6,132.5,Health
10/1/2025,6,132.8,Health
11/1/2025,6,132.8,Health
12/1/2025,6,132.9,Health
1/1/2026,6,133.1,Health
2/1/2026,6,133.1,Health
3/1/2026,6,133.4,Health
1/1/2020,7,114.1,Transport
2/1/2020,7,113.6,Transport
3/1/2020,7,102,Transport
4/1/2020,7,85.3,Transport
5/1/2020,7,86.3,Transport
6/1/2020,7,95,Transport
7/1/2020,7,100.4,Transport
8/1/2020,7,100,Transport
9/1/2020,7,100,Transport
10/1/2020,7,99.6,Transport
11/1/2020,7,98.3,Transport
12/1/2020,7,102.3,Transport
1/1/2021,7,107,Transport
2/1/2021,7,110.2,Transport
3/1/2021,7,113.5,Transport
4/1/2021,7,113.6,Transport
