state,date,division,index
Penang,1/1/2025,overall,136.4
Penang,2/1/2025,overall,136.5
Penang,3/1/2025,overall,136.6
Penang,4/1/2025,overall,136.9
Penang,5/1/2025,overall,137
Penang,6/1/2025,overall,137.1
Penang,7/1/2025,overall,137.6
Penang,8/1/2025,overall,137.7
Penang,9/1/2025,overall,138
Penang,10/1/2025,overall,137.9
Penang,11/1/2025,overall,137.8
Penang,12/1/2025,overall,138.1
Penang,1/1/2026,overall,138.4
Penang,2/1/2026,overall,138.7
Penang,3/1/2026,overall,139.1
Sabah,1/1/2020,overall,115.5
Sabah,2/1/2020,overall,115.4
Sabah,3/1/2020,overall,113.9
Sabah,4/1/2020,overall,110.6
Sabah,5/1/2020,overall,110.7
Sabah,6/1/2020,overall,111.8
Sabah,7/1/2020,overall,112.6
Sabah,8/1/2020,overall,112.6
Sabah,9/1/2020,overall,112.6
Sabah,10/1/2020,overall,112.6
Sabah,11/1/2020,overall,112.5
Sabah,12/1/2020,overall,113.1
Sabah,1/1/2021,overall,113.8
Sabah,2/1/2021,overall,114.2
Sabah,3/1/2021,overall,114.7
Sabah,4/1/2021,overall,114.9
Sabah,5/1/2021,overall,114.8
Sabah,6/1/2021,overall,114.8
Sabah,7/1/2021,overall,114.2
Sabah,8/1/2021,overall,114.2
Sabah,9/1/2021,overall,114.2
Sabah,10/1/2021,overall,115
Sabah,11/1/2021,overall,115.2
Sabah,12/1/2021,overall,115.4
Sabah,1/1/2022,overall,116
Sabah,2/1/2022,overall,116.3
Sabah,3/1/2022,overall,116.3
Sabah,4/1/2022,overall,116.5
Sabah,5/1/2022,overall,117.3
Sabah,6/1/2022,overall,118
Sabah,7/1/2022,overall,118.7
Sabah,8/1/2022,overall,119.1
Sabah,9/1/2022,overall,119.1
Sabah,10/1/2022,overall,119.3
Sabah,11/1/2022,overall,119.6
Sabah,12/1/2022,overall,119.8
Sabah,1/1/2023,overall,119.8
Sabah,2/1/2023,overall,120.1
Sabah,3/1/2023,overall,120.2
Sabah,4/1/2023,overall,120.2
Sabah,5/1/2023,overall,120.8
Sabah,6/1/2023,overall,120.7
Sabah,7/1/2023,overall,120.9
Sabah,8/1/2023,overall,121.2
Sabah,9/1/2023,overall,121.3
Sabah,10/1/2023,overall,121.3
Sabah,11/1/2023,overall,121.3
Sabah,12/1/2023,overall,121.4
Sabah,1/1/2024,overall,121.6
Sabah,2/1/2024,overall,121.9
Sabah,3/1/2024,overall,121.9
Sabah,4/1/2024,overall,122.1
Sabah,5/1/2024,overall,122.2
