date,group,index,category,sub-category
1/6/2020,52,92,Furnishings & Household Equipment,Household textiles
1/6/2020,53,106.2,Furnishings & Household Equipment,Household appliances
1/6/2020,54,107.9,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/6/2020,55,109.2,Furnishings & Household Equipment,Tools & equipment for house & garden
1/6/2020,56,124,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/6/2020,61,119.7,Health,Medicines & health products
1/6/2020,62,140.5,Health,Outpatient care services
1/6/2020,63,120.3,Health,Inpatient care services
1/6/2020,64,116.5,Health,Others health services
1/6/2020,71,94.9,Transport,Purchase of vehicles
1/6/2020,72,98,Transport,Operation of personal transport equipment
1/6/2020,73,116,Transport,Passenger transport services
1/6/2020,74,,Transport,Transport services of goods
1/6/2020,81,58.6,Communication,Information & communication equipment
1/6/2020,83,102.4,Communication,Information & communication services
1/6/2020,92,101.2,Recreation & Culture,Other recreational goods
1/6/2020,93,114.7,Recreation & Culture,Garden products & pets
1/6/2020,94,120.9,Recreation & Culture,Recreational services
1/6/2020,95,102.4,Recreation & Culture,Cultural goods
1/6/2020,96,123.8,Recreation & Culture,Cultural services
1/6/2020,97,113.9,Recreation & Culture,Newspapers & periodicals
1/6/2020,98,130.5,Recreation & Culture,Package holidays
1/6/2020,101,124.9,Education,Pre primary & primary education
1/6/2020,102,118.3,Education,Secondary education
1/6/2020,103,114.7,Education,Post-secondary non-tertiary education
1/6/2020,104,114.9,Education,Tertiary education
1/6/2020,105,117,Education,Education not defined by level
1/6/2020,111,136.6,Restaurants & Accommodation,Food & beverage preparation services
1/6/2020,112,101.1,Restaurants & Accommodation,Accommodation services
1/6/2020,121,109.9,Miscellaneous Goods & Services,Insurance
1/6/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/6/2020,131,114.9,Other Services,Personal care
1/6/2020,132,133,Other Services,Other personal item
1/6/2020,133,126.4,Other Services,Social protection
1/6/2020,139,120.1,Other Services,Other services
1/7/2020,1,142.4,Food & Non-Alcoholic Beverages,Food away from home
1/7/2020,11,132,Food & Non-Alcoholic Beverages,Food at home
1/7/2020,12,112.8,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/7/2020,21,109.9,Alcohol & Tobacco,Alcoholic beverages
1/7/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/7/2020,31,96.1,Clothing & Footwear,Clothes
1/7/2020,32,82.4,Clothing & Footwear,Shoes
1/7/2020,41,126.8,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/7/2020,43,126.4,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/7/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/7/2020,45,76.8,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/7/2020,51,116,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/7/2020,52,91.9,Furnishings & Household Equipment,Household textiles
1/7/2020,53,106.2,Furnishings & Household Equipment,Household appliances
1/7/2020,54,107.9,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/7/2020,55,109.6,Furnishings & Household Equipment,Tools & equipment for house & garden
1/7/2020,56,124.5,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/7/2020,61,119.7,Health,Medicines & health products
1/7/2020,62,140.8,Health,Outpatient care services
1/7/2020,63,120.3,Health,Inpatient care services
1/7/2020,64,116.7,Health,Others health services
1/7/2020,71,94.9,Transport,Purchase of vehicles
1/7/2020,72,103.6,Transport,Operation of personal transport equipment
1/7/2020,73,119.6,Transport,Passenger transport services
1/7/2020,74,,Transport,Transport services of goods
1/7/2020,81,58.6,Communication,Information & communication equipment
1/7/2020,83,102.4,Communication,Information & communication services
1/7/2020,92,101.2,Recreation & Culture,Other recreational goods
1/7/2020,93,115,Recreation & Culture,Garden products & pets
1/7/2020,94,120.9,Recreation & Culture,Recreational services
1/7/2020,95,102.2,Recreation & Culture,Cultural goods
1/7/2020,96,123.8,Recreation & Culture,Cultural services
1/7/2020,97,113.9,Recreation & Culture,Newspapers & periodicals
1/7/2020,98,130.5,Recreation & Culture,Package holidays
1/7/2020,101,125.3,Education,Pre primary & primary education
1/7/2020,102,118.3,Education,Secondary education
1/7/2020,103,114.7,Education,Post-secondary non-tertiary education
1/7/2020,104,114.9,Education,Tertiary education
1/7/2020,105,119,Education,Education not defined by level
1/7/2020,111,136.7,Restaurants & Accommodation,Food & beverage preparation services
1/7/2020,112,100.2,Restaurants & Accommodation,Accommodation services
1/7/2020,121,109.9,Miscellaneous Goods & Services,Insurance
1/7/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/7/2020,131,115.2,Other Services,Personal care
1/7/2020,132,134.1,Other Services,Other personal item
1/7/2020,133,128.6,Other Services,Social protection
1/7/2020,139,120,Other Services,Other services
1/8/2020,1,142.9,Food & Non-Alcoholic Beverages,Food away from home
1/8/2020,11,132,Food & Non-Alcoholic Beverages,Food at home
1/8/2020,12,112.8,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/8/2020,21,110.3,Alcohol & Tobacco,Alcoholic beverages
1/8/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/8/2020,31,96.1,Clothing & Footwear,Clothes
1/8/2020,32,82.4,Clothing & Footwear,Shoes
1/8/2020,41,127,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/8/2020,43,126.4,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/8/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/8/2020,45,76.8,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/8/2020,51,116.1,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/8/2020,52,91.8,Furnishings & Household Equipment,Household textiles
1/8/2020,53,106.3,Furnishings & Household Equipment,Household appliances
1/8/2020,54,107.9,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/8/2020,55,109.7,Furnishings & Household Equipment,Tools & equipment for house & garden
1/8/2020,56,124.5,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/8/2020,61,119.9,Health,Medicines & health products
1/8/2020,62,140.8,Health,Outpatient care services
1/8/2020,63,120.3,Health,Inpatient care services
1/8/2020,64,117,Health,Others health services
1/8/2020,71,94.9,Transport,Purchase of vehicles
1/8/2020,72,103.3,Transport,Operation of personal transport equipment
1/8/2020,73,129.7,Transport,Passenger transport services
1/8/2020,74,,Transport,Transport services of goods
1/8/2020,81,58.6,Communication,Information & communication equipment
1/8/2020,83,102.4,Communication,Information & communication services
1/8/2020,92,101.1,Recreation & Culture,Other recreational goods
1/8/2020,93,115.1,Recreation & Culture,Garden products & pets
1/8/2020,94,120.7,Recreation & Culture,Recreational services
1/8/2020,95,102.2,Recreation & Culture,Cultural goods
1/8/2020,96,124,Recreation & Culture,Cultural services
1/8/2020,97,113.9,Recreation & Culture,Newspapers & periodicals
1/8/2020,98,130.5,Recreation & Culture,Package holidays
1/8/2020,101,125.3,Education,Pre primary & primary education
1/8/2020,102,118.4,Education,Secondary education
1/8/2020,103,114.7,Education,Post-secondary non-tertiary education
1/8/2020,104,114.9,Education,Tertiary education
1/8/2020,105,119,Education,Education not defined by level
1/8/2020,111,136.9,Restaurants & Accommodation,Food & beverage preparation services
1/8/2020,112,100.1,Restaurants & Accommodation,Accommodation services
1/8/2020,121,109.9,Miscellaneous Goods & Services,Insurance
1/8/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/8/2020,131,115,Other Services,Personal care
1/8/2020,132,139.9,Other Services,Other personal item
1/8/2020,133,128.6,Other Services,Social protection
1/8/2020,139,120.1,Other Services,Other services
1/9/2020,1,143.1,Food & Non-Alcoholic Beverages,Food away from home
1/9/2020,11,131.7,Food & Non-Alcoholic Beverages,Food at home
1/9/2020,12,112.8,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/9/2020,21,110.7,Alcohol & Tobacco,Alcoholic beverages
1/9/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/9/2020,31,96,Clothing & Footwear,Clothes
1/9/2020,32,82.3,Clothing & Footwear,Shoes
1/9/2020,41,127,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/9/2020,43,126.4,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/9/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/9/2020,45,76.8,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/9/2020,51,116.1,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/9/2020,52,91.9,Furnishings & Household Equipment,Household textiles
1/9/2020,53,106.3,Furnishings & Household Equipment,Household appliances
